Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
OneWeb-0323	OneWeb-0323	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.3	148	2021-08-20T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0324	OneWeb-0324	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.3	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0325	OneWeb-0325	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0326	OneWeb-0326	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0327	OneWeb-0327	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0328	OneWeb-0328	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0329	OneWeb-0329	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	96.3	148	2021-08-20T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0330	OneWeb-0330	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	96.3	148	2021-08-20T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0331	OneWeb-0331	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.3	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0332	OneWeb-0332	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0333	OneWeb-0333	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0334	OneWeb-0334	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0335	OneWeb-0335	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0336	OneWeb-0336	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0337	OneWeb-0337	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0338	OneWeb-0338	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0339	OneWeb-0339	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0340	OneWeb-0340	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0341	OneWeb-0341	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0342	OneWeb-0342	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0343	OneWeb-0343	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0344	OneWeb-0344	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0345	OneWeb-0345	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0346	OneWeb-0346	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0347	OneWeb-0347	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0348	OneWeb-0348	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0349	OneWeb-0349	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0350	OneWeb-0350	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0351	OneWeb-0351	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0352	OneWeb-0352	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0353	OneWeb-0353	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0354	OneWeb-0354	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0355	OneWeb-0355	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0356	OneWeb-0356	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0357	OneWeb-0357	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.4	109.6	148	2021-09-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0358	OneWeb-0358	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0359	OneWeb-0359	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0360	OneWeb-0360	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0361	OneWeb-0361	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0362	OneWeb-0362	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0363	OneWeb-0363	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0364	OneWeb-0364	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0365	OneWeb-0365	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0366	OneWeb-0366	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0367	OneWeb-0367	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0368	OneWeb-0368	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0369	OneWeb-0369	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0370	OneWeb-0370	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0371	OneWeb-0371	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0372	OneWeb-0372	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0373	OneWeb-0373	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0374	OneWeb-0374	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0375	OneWeb-0375	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0376	OneWeb-0376	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0377	OneWeb-0377	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0378	OneWeb-0378	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0379	OneWeb-0379	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0380	OneWeb-0380	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0381	OneWeb-0381	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0382	OneWeb-0382	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0383	OneWeb-0383	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0384	OneWeb-0384	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0385	OneWeb-0385	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0386	OneWeb-0386	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0387	OneWeb-0387	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0388	OneWeb-0388	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	600	610	7.168458781362007E-4	87.4	96.75	148	2021-10-13T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Vostochny Cosmodrome	Soyuz-2.1b	
OneWeb-0389	OneWeb-0389	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0390	OneWeb-0390	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0391	OneWeb-0391	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0392	OneWeb-0392	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0393	OneWeb-0393	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0394	OneWeb-0394	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0395	OneWeb-0395	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0396	OneWeb-0396	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0397	OneWeb-0397	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0398	OneWeb-0398	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0399	OneWeb-0399	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0400	OneWeb-0400	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0401	OneWeb-0401	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0402	OneWeb-0402	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0403	OneWeb-0403	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0404	OneWeb-0404	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0405	OneWeb-0405	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0406	OneWeb-0406	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0407	OneWeb-0407	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0409	OneWeb-0409	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0410	OneWeb-0410	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0411	OneWeb-0411	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0412	OneWeb-0412	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0413	OneWeb-0413	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0414	OneWeb-0414	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0415	OneWeb-0415	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0416	OneWeb-0416	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0417	OneWeb-0417	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0418	OneWeb-0418	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0419	OneWeb-0419	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0420	OneWeb-0420	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0421	OneWeb-0421	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0422	OneWeb-0422	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0423	OneWeb-0423	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0424	OneWeb-0424	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0425	OneWeb-0425	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
