Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
Aerocube 11A (TOMSat Eagle Scout)	Aerocube 11A	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	495	511	0.0011639749745380474	85.03	94.6	4	2018-12-16T23:00:00Z		Aerospace Corporation	USA	Rocket Lab Launch Complex 1	Electron	Will test miniaturized imagers.
Aerocube 11B (TOMSat R3)	Aerocube 11B	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	492	511	0.0013825220112057047	85.3	94.6	4	2018-12-16T23:00:00Z		Aerospace Corporation	USA	Rocket Lab Launch Complex 1	Electron	Will test miniaturized imagers.
Aerocube 12A	Aerocube 12A	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	481	487	4.377006127808579E-4	51.6	94.2	4	2018-07-15T22:00:00Z		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	
Aerocube 12B	Aerocube 12B	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	481	487	4.377006127808579E-4	51.6	94.2	4	2018-07-15T22:00:00Z		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	
Aerocube 14A	Aerocube 14A	USA	Aerospace Corporation	Military	Technology Development		LEO	0	459	474	0.0010970525853872596	51.6	93.9		2020-01-30T23:00:00Z		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.
Aerocube 14B	Aerocube 14B	USA	Aerospace Corporation	Military	Technology Development		LEO	0	459	474	0.0010970525853872596	51.6	93.9		2020-01-30T23:00:00Z		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.
Aerocube 15A	Aerocube 15A	USA	Aerospace Corporation	Military	Technology Development		LEO	0	458	474	0.0011702750146284377	51.6	93.9		2020-01-30T23:00:00Z		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.
Aerocube 5C	Aerocube 5C	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	500	802	0.021506907847884917	64.78	97.74	1	2015-10-07T22:00:00Z		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	Demonstrate tracking technologies, optical communications and laser communication.
Aerocube 6A	Aerocube 6A	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	614	700	0.006119254304824249	97.98	97.88	5	2014-06-18T22:00:00Z	3	Aerospace Corporation	USA	Dombarovsky Air Base	Dnepr	Technology development for cubesat constellation.
Aerocube 6B	Aerocube 6B	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	614	700	0.006119254304824249	97.98	97.88	5	2014-06-18T22:00:00Z	3	Aerospace Corporation	USA	Dombarovsky Air Base	Dnepr	Technology development for cubesat constellation.
